board_state,solution,moves
xwwwwwwxxwwbbbbxbbwbwbbwbbbwwbbwbbbwwwbwbwwwwwwwbxwwbwwwxxwwwwwx b,b7,b8 a2
wbbbbbbbxwbwwbbbwbwbbbbbwbbwbbbbwbwbwbbbbbbbwbbbxbbwwxxbxbxwwxxx w,a2,g7 c8 a7
wwwwwwwxwwbbbbbbwbwwwbbbwwbwwbbbwbbwwwbbwbwwwwwbwwwwwwxbwxwxbbbb b,d8,g7 b8
bwwwwwwwbbbbwbxxbbbwbwwxbbwbbbwwbwwbwbbxbwbbwbxxbwwwbbxxbbbbbbxx b,g2,h2 h3
xwwxbbbxwwwwwbxwwbwbbbbwwwwwwbbwwwbbwwbwwwwbbwwwxxbwwwwwxbbbbbbx b,b7,d1 a7
xxbbbbbbxbbbbbwwwwbbbwwwxwwbbwbbwwbwbbbbwbwwwbbbwxbbbwxxwxbbbbbb b,b7,a2 a4 g7
xxwwwwwwwxwwwwwxwwwbwwwwwbwwbwwwwbbbwbwwwbbwbwbwwbbbbbbbwwwwwwww b,b1,b2 h2
wxwwbbbxxwwwbbxbbwwwbbwbbbwbbwbbbbbbwwbbxbwbbwbbxxbwwbwbxbbbbbbb b,b7,a2 g2 b1
wwwwwwwbxxwwbbbbbbwwbbbbbbwwbbwbbwbbbbwbbbbwwwbbxbbwwxxbxbbbxwxx w,g7,a2 b2 a7
bxxwbbxwxbwwwbwbwwbwwwbbbwbbwbwbbbbwbbwbbbwwwbbbbwbwwbxxbwwwwbxx b,c1,g1 a2 b1
wbbbbbbbwbbbwwwbwbwwwbwbwwbwbwbbwwbbwbwbwwwbbwwbxxbbbbwbxxbbbbxx b,b7,g8 h8 a7
xwwwwwxbbxbbwwbxbbbwbbbbbbwwbbbbbbwbbbbbbbbwbbbbbbwwwwxxxwwwwwxx w,h7,h2 g7 b2
bwbbbbxxbbbbbbwwwwwwbwwwwwbbwwbwwwbbbbwwwbwbbwbxwbbbwwxbwbbbwxxx w,h6,g1 g7
bbbbbbxxbbwwbbxbbwbwwwbbbbwbwwwbbbwwbwwbbwbbwbwbbxbbbwwwbxbbbxwb b,f8,b7 g2
xbbbbbbxwbbbwwwxwbbwbwwwwbwbwbwwwwbwbwbwwwwwwbbbwwwwbbxwwxwwbxxx b,h8,b8 h2
xbbbbbbxxxbwwbxbwwbbwwbbxwbbwwwbwwbwwbwbbbwbwbbbbbbbbwxbwwwwwwxx w,g7,b2 g2
xwwwwwxxwxwwwwxxwwbbbbbbwbwwwbbbwwbwbbbbwbwbbwwbbbbbbbxbwxbbbbbx w,b8,b2 g2
xbbbbbbbxwwwwwwxbbwbwbwxbbbwbwwwbbbbbbwwbbbbbbbwxbbwwbbwxxwwwwww w,a8,a2 a7 b8
xxxbbbbbwxxxbwbwwxbbbbbwwbbbbwbwwbbbbbbwwbbwwbbwbbbbbbbwbwwwwwww w,c2,b2 b3 d2
wwwwwwwxbbbwwwxbxbwbbwwbxbwwbbwbxbwbbbbbbwwbwwwbbxwwbwwxbxwwwwwx w,a3,a5 a4
xxbbbbbbxxbbwwwwwbbwbbwwbbwwbbwwbbwwwwwwwwwwbbbbxwwbwbxxxxbbbbbx b,a8,a7 a2 b8
xwwwwwxbbxwbbbbbwwwwbbbbwwbbbbbbwwwbbwbbwwbwbbwbxwwwwwwbxxbbwwwb b,a7,a8 b8 b2
xwwwwwwwbbbbbbbwbbbbbbbwbwbbbwbwbwbbbwbwbbwwbbwwbwwwwwxwxbbbbxwx b,a8,f8 g7
xxwbbbbwwxbbbbbwwwbbbbbwwwwwwbbwwwbwwbbwwwwwwwwwxxbbwwxwxxbbbbxx b,a7,g7 b7 b1
wwwwwwwxwbbbbbxbwbbbwbbbbbbbwwbbbbbbwbwbbbbwbwbbxxwwwwwbxwwwxxxx w,b7,g2 a7
xwwwwwwwxxwbwwwbxbbwbwwbbbwbbbwbbwbbbwwbbbbbwbwbbbbwwwxbwwwwwxxb w,a3,b2 a2
bwwwwwxxbwwwwwxwbwbbbbwwwwbwbwbwwwbbwwbxbwbwwwbbxbwwwwxxxxwwwwwx b,g2,g1 a7 g7
wwxbbwwbbwwbwwwbwwwwbbwbxwbwbbwbxwbbwbwbwwbbbwbbxxbbbbbbxwwwwwxx b,c1,a5 a7 a4
xwwwbbbwxwwbbbwwbbbwbwbwxbbwbbwwxbbbwbwwbbbwbwbwxxwwwbbwxwwwwwbw w,a7,a5 a4 b7
wwwwwwwxwbbbbwxbwbbbwwbbwwbwbbwbwwwbbwwbwwwbwwbbwxbwwbxbwbwwwwwx w,b7,g7 g2
xbbbbbxbxwwwwwwwbwwbwbwwbwbwbwwbbwwbwbwwbwwwbwwwxxwwwbxwxxwwwwbw b,a2,b7 b8
wwwwwwwxwwbwwwxxwwwbwwbxwbwwbwbbwbbwwwbbwbbbwwwxwwwwbwwwxxbbbbbb w,h6,h3 g2 h2
bwbbbbxxbwwwwbxwbwbbbbbwbwbbbbwwbbwbbwbwbbbbbbwwbbbbwbxwxbbbbbxx w,g2,g8 g7 g1
wwbbbwxxbwwwwwwwwwbwwbwwwwbwbwbwwwbbwbwwxwbwbwwxxbbbwwxxxwwwwwwx w,a8,a6 a7
xbbbbbbxbxwbbbbwbwwbbbbwbwwwbwbwbwbbbwbwbwbwbwwwbwwbwwxwxwwwwwxx b,a8,g8 g7 b2
xbbbbbxwxxbbbwwxbbbbwwwxwbbwwbwwwbwwbbwwwbbbwbwwwbbbbwwwbbbbbbbb b,g1,h3 h2
xbbbbbbxxxbwwwxwwwbwbwwwwwwbbwbwwwbbbbbwwwbwwwbwxbbbbbbwxwwwwwbw w,a8,a7 b2
xbbbbbxxbxbwwwxxbbwwwwwwbwbwwwwwbbwwwwbwbbbwwwwwbxwwwwwwxwwwwwxx b,g1,g8 g2
xxbbbbbxxxbbwbxbwwbwbwbbwbwbwwbbbxwwbwwbbbbbbbwbwwbbbbbbwwwwwwwb w,b5,b1 g2 b2
bbwwwwwwbbbwbwwbbbwbwwwbwbbwwwwbwbwbwwwbbbwbbwwbxxxwwwwbxxwxwwbb b,d8,c7 b7
